Title,"Include?
[1/0]",Year,Citation Reference,"Assigned to
[Dan, Ezz, Maddi, Sanyam, Shae, Vas]",Citations 2025,Citations Per Year Sept 2025,Venue,"URL
(optional)","DOI
(optional)","Input
[source_code, binary_code, binary_executable]","Input granularity [line, snippet, function, slice/gadget, commit, repo/project, executable]","Classification Granularity
[line, snippet, function, slice/gadget, commit, repo/project, executable]","Granularity justification (optional, if any)","Input (graph) representation
[intermediate_code, AST, CFG, DFG, CPG, PDG]","Input Vectorization
[NA, hash, manual_features, pretrained_token_embedding, pretrained_sentence_embedding, learnable_token_embedding, node_embedding, ..]","Tools Used
(as part of solution e.g., preprocessing)
[joern, word2vec, GPT-4, ...]","Task
[binary, binary-CWE, multi-class, exploit]","Task justification (optional, if any)",Mention explainability or interpretability,"Explainability
[0/1]","Vulnerability Types Targeted
[general / specific(e.g., CWE-XXX, XSS, SQLI, memory)]","Vulnerability Types in Datasets
[NA, general, CWE-XXX, XSS, SQLI, memory)]","Test Dataset Type
[create_own_from_scratch, subset_existing (e.g., NVD, SARD), benchmark]","Test Dataset
[NA, Juliet (SATE IV), NVD, SARD, Devign (aka. FFMpeg+ Qemu), Reveal (aka. Chromium+Debian), Big-Vul (aka. Fan et. al.), CodeXGLUE, Draper (Russel et. al.), CVEFixes, D2A, DiverseVul, ...]","Dataset justification (optional, if any)","Dataset Practicality
[Synthetic, real-world, both]","Programming Language
[NA, C/C++, Java, Python, PHP, JavaScript, any (binary, or assembly)]",Mention duplicate in dataset, Mention dataset quality, Mention dataset noise,Mention dataset split, Mention dataset balance,"Programming language justification 
(optional, if any)","ML?
[0/1]","LLM?
[0/1]","Basic Approach
[static, dynamic, both]","Approach
[fuzzing, manual_features, symbolic_execution, taint_analysis, signature, code_similarity, ML_preNN, MLP, CNN, RNN (including GRU, LSTM, BRNN, BGRU, BLSTM), Transformer, GNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Specific Approach
[GCN, GAT, RGCN, GGNN, LSTM, BLSTM, BGRU, GRU, BRNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Approach justification (optional, if any)",Discuss metrics,"Evaluation Metrics
[F1, Acc, ROCAUC,  PRAUC, Precision, Recall, TopN-Acc]","Metrics justification (optional, if any)",Discuss ablation,Discuss overfitting,"Best Results
(should be readable as python dict)
{""dataset"":{""metric"":value, ""metric"":value}}","repo
(code or data)
[url]","Open-sourced Code
[NA, 0, 1]","Open-sourced Dataset
[NA, 0, 1]",Summary,,,,
CSVD-TF: Cross-project software vulnerability detection with TrAdaBoost by fusing expert metrics and semantic metrics,1,2024,cai2024csvdtf,Dan,9,5.389221557,Journal of Systems and Software,https://www.sciencedirect.com/science/article/pii/S0164121224000815,10.1016/j.jss.2024.112038,source_code,function,function,,,pretrained_token_embedding,Understand,multi-class,,1,0,,,create_own_from_scratch,"FFmpeg, LibTIFF, LibPNG, and VLC",real-world software projects ,real-world,C/C++,0,0,0,0,0,"𝑈𝑛𝑑𝑒𝑟𝑠𝑡𝑎𝑛𝑑 can
compute both classical and object-oriented source code metrics for Java and C/C++ software projects",1,1,static,PretrainedLLM,PretrainedLLM,,1,ROCAUC,class-imbalance,1,1,"{""own"": {""AUC"":81}}",https://github.com/CSVD/CSVD-TF,1,1,"Combines expert metrics with codebert semantic metrics then combines them using  transfer learning method
TrAdaBoost to create cross-project vulnerability detection.",,,,
Cyber Security Vulnerability Detection Using Natural Language Processing,1,2022,singh2022cyber,Sanyam,37,10.08174387,IEEE World AI IoT Congress,https://ieeexplore.ieee.org/document/9817336,10.1109/AIIoT54504.2022.9817336,source_code,function,function,,,pretrained_token_embedding,,binary,,0,0,general,general,subset_existing,"NVD, SARD",,real-world,C/C++,0,0,0,0,0,,1,0,both,FinetuneLLM,FinetuneLLM,,1,"Acc, Precision, Recall, F1",,0,0,"{""Binary"": {
    ""LSTM"": {""Acc"": ""87%"", ""Precision"": ""74%"", ""Recall"": ""75%"", ""F1"": ""79%""},
    ""BiLSTM"": {""Acc"": ""93%"", ""Precision"": ""93%"", ""Recall"": ""93%"", ""F1"": ""93%""},
    ""BERT"": {""Acc"": ""87%"", ""Precision"": ""88%"", ""Recall"": ""88%"", ""F1"": ""87%""},
    ""BERT for Sequence Classification"": {""Acc"": ""94%"", ""Precision"": ""95%"", ""Recall"": ""94%"", ""F1"": ""94%""},
    ""CodeBERT"": {""Acc"": ""94%"", ""Precision"": ""94%"", ""Recall"": ""95%"", ""F1"": ""94%""}
}, ""Multiclass"":{
    ""BERT for Sequence Classification"": {""Acc"": ""95%"", ""Precision"": ""91%"", ""Recall"": ""88%"", ""F1"": ""88%""},
    ""CodeBERT"": {""Acc"": ""95%"", ""Precision"": ""96%"", ""Recall"": ""93%"", ""F1"": ""94%""}
}}",,0,0,,,,,
Dataflow Analysis-Inspired Deep Learning for Efficient Vulnerability Detection,1,2024,steenhoek2024dataflow,Ezz,63,37.7245509,IEEE/ACM International Conference on Software Engineering,https://dl.acm.org/doi/10.1145/3597503.3623345,10.1145/3597503.3623345,source_code,function,function,"We can further apply deep learning explanation tools to report line level vulnerabilities, as done in Li et al.’s work [36 ]. We leave this evaluation for future work.",CFG,node_embedding,Joern,binary,,1,0,general,general,benchmark,"big-vul, dbgbench",,real-world,C/C++,0,0,0,1,0,"we believe that DeepDFA can also be applied to other popular programming languages, such as Python and Java",1,0,static,"GNN, combined_with_transformer",GGNN,,1,"Precision, recall, f1"," 𝐹 1 to decide the highest performing
model because it balances precision and recall, which are
both important in an imbalanced dataset.",1,1,"{""big-vul"":{""f1"":96.5, ""precision"":97.8, ""recall"":95.1}}",https://github.com/ISU-PAAL/DeepDFA,1,1,"This paper proposes DeepDFA, a vulnerability detector based on GNNs aiming of simulating data flow analysis. They utilize the CFG as the underlying graph for GNN, and use the bit-vector representation of dataflow facts to encode definitions and uses of variables (abstract dataflow embedding), which makes a GNN simulates or equivalent to DFA. DeepDFA achieves remarkable accuracy using so little data as 50+ vulnerable samples, and so little time as 9 minutes to train. DeepDFA performs better than non-transformer baselines, and when combined with UniXCoder, outperforms all baselines on the Big-Vul dataset. The combination happens by concatenating graph embedding from DeePDFA and sentence embedding from LLM, and feeding it to feed forward MLP. DeepDFA also outperforms all baselines on detecting vulnerabilities in projects on which it was not trained. Authors claim the superior performance is due to that their embedding does not include any irrelevant info, but only info related to vulnerabilities (i.e., abstract dataflow embedding).",,,,
DB-CBIL: A DistilBert-Based Transformer Hybrid Model Using CNN and BiLSTM for Software Vulnerability Detection,1,2024,bahaa2024dbcbil,Ezz,13,7.784431138,IEEE Access,,,source_code,function,function,,AST,learnable_token_embedding,ANTLR,binary,,1,0,general,12 CWEs,subset_existing,SARD,"others datasets have bad labels, and course-grained level vulnerabilities",both,C/C++,0,0,0,0,0,due to the existing datasets and parsers,1,0,static,"CNN, RNN, Transformer",BLSTM,,1,"ROCAUC, F1, Precision, Recall, Acc, FPR, FNR, Specificity",they are widely used,0,0,"{""SARD"":{""Precision"":99.5, ""Recall"":100, ""F1"":99.8, ""FNR"":0, ""acc"":99.8, ""FPR"":0.3, ""ROCAUC"":99.8, ""specificity"":99.7}}",https://github.com/AyaElRahman/DB-CBIL,1,1,"Their approach is a mix of DistilBERT language model and CNNs and BiLSTMs. They highlight the fact that they can detect many CWEs but that has been considered by many previous works as well.They use the AST as the code representation. The AST is traversed depth-first and converted to XML or JSON. They also pruned the AST by removing ""unneccary"" tokens. The tokenization is done using SistilBERT tokenization and they fine-tuned the DistilBERT embeddings using their dataset. They then feed these embeddings to a 1D CNN, and then a BiLSTM layer.",,,,
Deep Learning based Vulnerability Detection: Are We There Yet?,1,2020,reveal_2021,Ezz,806,142.1516755,IEEE Transactions on Software Engineering,https://www.computer.org/csdl/journal/ts/2022/09/09448435/1ugE8leB4Va,10.48550/arXiv.2009.07235,source_code,function,function,"we followed the problem formulation used by Russell
et al. [5], and Devign [31], where we classify the function",CPG,"node_embedding, pretrained_token_embedding",,binary,"Most of the approaches formulate the problem as a classification problem, where given a code example, the model will provide a binary prediction indicating whether the code is vulnerable or not. This prediction formulation relies on the fact that there are sufficient number of examples (both vulnerable and nonvulnerable) to train on. In this study, we are focusing on the similar formulation.
",1,0,general,general,create_own_from_scratch,"Reveal, Devign",new dataset of real-world stuff,real-world,C/C++,0,0,0,1,0,,1,0,static,GNN,GGNN,,1,"Acc, Precision, Recall, F1","We study approaches based on four popular evaluation
metrics for classification task [47] – Accuracy, Precision,
Recall, and F1-score.",0,0,"{""Devign"":{""Acc"":62.5, ""Precision"": 56.9, ""Recall"": 74.6, ""F1"": 64.4}, ""Reveal"":{""Acc"": 84.4, ""Precision"": 30.9, ""Recall"": 60.9, ""F1"": 41.3}}",https://github.com/VulDetProject/ReVeal,1,1,"ReVeal is a function-level GNN-based C/C++ vulnerability detector proposed in 2021. The main motivation behind ReVeal is the observation that previous AVD solutions are often trained on non-realistic datasets that contains duplicate data and class imbalance, and thus learn spurious correlations in the data (e.g., specific variable/function names). To that end, they proposed a more rigorous approach to data collection and model design, resulting in developing the ReVeal dataset. The authors also developed a GGNN (similar to Devign) and utilized the triplet loss function that maximizes the separation between the vulnerable and non-vulnerable classes. The authors show that their approach results in great enhancements across their datasets, as well as the Devign dataset.",,,,
Deep Learning for Software Vulnerabilities Detection Using Code Metrics,1,2020,zagane2020code_metrics,Sanyam,81,14.28571429,IEEE Access,https://ieeexplore.ieee.org/document/9069943,10.1109/ACCESS.2020.2988557,source_code,function,slice/gadget,,,manual_features,,binary,,0,0,general,general,subset_existing,SySeVR,,both,C/C++,0,0,0,0,0,dataset contained C++; This represents an interesting open research problem for future works,1,0,static,"manual_features, MLP",,,1,"Precision, Recall, FPR, FNR",We used four well-known and widely used performance,0,1,"{""code_metrics"":{""Recall"":93.7, ""Precision"":93.2,""FPR"":41.08, ""FNR"":6.25}}",https://github.com/mzagane/slice-based_code_metrics_dataset,0,1,,,,,
Deep-learning-based vulnerability detection in binary executables,1,2022,schaad2023deep,Dan,21,5.722070845,Foundations and Practice of Security.,https://doi.org/10.1007/978-3-031-30122-3_28,10.1007/978-3-031-30122-3_28,binary_executable,executable,executable,,intermediate_code,pretrained_token_embedding,"retDec, word2vec",multi-class,,0,0,,general,benchmark,Juliet,,synthetic,binary,0,0,0,0,0,,1,0,static,RNN,"LSTM, GRU, SRNN",,1,"Acc Precision, Recall, F1",,0,0,"{""sard"": {""acc"": 88}}",,0,1,Small paper about applying RNN to IR decompiled from executables,,,,
DeepBalance: Deep-Learning and Fuzzy Oversampling for Vulnerability Detection,1,2020,liu2019deepbalance,Sanyam,138,24.33862434,IEEE Transactions on Fuzzy Systems,https://ieeexplore.ieee.org/abstract/document/8930093,10.1109/TFUZZ.2019.2958558,source_code,function,function,"For vulnerabilities that span multiple functions or multiple files, we discard them (i.e., the vulnerable functions and the vulnerabilities which span across multiple functions and/or files are not included).",AST,"pretrained_token_embedding, node_embedding",,binary,,0,0,specific,general,subset_existing,NVD,,both,C/C++,0,0,0,0,0,,1,0,static,RNN,BLSTM,,1,"Acc, Precision, Recall","In the class imbalance problem, the overall classification accuracy itself is not a good metric for measuring the performance of classifiers. In this case, model performance is measured using other commonly used learning metrics including precision, recall, and FM (F-measure). In this article, we consider the minority class (vulnerable samples) as the positive class and the majority class (not vulnerable samples) as the negative class
",0,1,"{""deepbalance"": {""recall"":55,""precision"":88} }",,0,1,,,,,
DeepVD: Toward Class-Separation Features for Neural Network Vulnerability Detection,1,2023,wang2023deepvd,Sanyam,47,17.60299625,IEEE/ACM International Conference on Software Engineering,https://ieeexplore.ieee.org/abstract/document/10172789,10.1109/ICSE48619.2023.00189,source_code,function,function,,"Exception Flow Graph (EFG), Post-Dominator Tree (PDT)","node2vec,pretrained_sentence_embedding,pretrained_token_embedding",node2vec,binary,,1,1,general,general,subset_existing,CVE,,real-world,C/C++,0,0,1,0,0,We only tested on the vulnerabilities in C and C++ code. D EEP VD can apply to other programming languages,1,0,static,"RNN, GNN","GCN, LSTM, GRU",,1,"Precision, Recall, F1",,1,0,"{ 'DEEPVD': {'Precision': 0.7, 'Recall': 0.89, 'F-score': 0.78}}",https://github.com/deepvd2022/deepvd2022,1,1,"This method DeepVD combines the results of different sources preprocessed by different technqiues. For example the source code and AST are passed to GRUs and LSTMS, while other graph representations are fed to GCNs. Then all resulting vectors are merged and fed to a MLP.",,,,
Deepwukong: Statically detecting software vulnerabilities using deep graph neural network,1,2021,deepwukong_2021,Ezz,326,69.80728051,ACM Transactions on Software Engineering and Methodology,https://dl.acm.org/doi/abs/10.1145/3436877,,source_code,project,slice/gadget,,"CFG, PDG","pretrained_token_embedding, node_embedding","antlr, doc2vec",binary,,1,0,general,top-10,subset_existing,"SARD, deepwukong",,both,C/C++,0,0,0,1,0,,1,0,static,GNN,K-GNN,,1,"Acc, Precision, Recall, f1, ROCAUC, FPR, FNR, informedness, markedness","Evaluation metrics. we apply six widely used metrics [ 43 ], including accuracy (ACC), false positive rate (FPR), false negative rate (FNR), true positive rate (TPR), Precision (P), F1 Score (F1) and AUC, to evaluate the performance of DeepWukong and the other competitors. We also adopt informedness (IFN) and markedness (MKN) [ 44], which are unbiased variants of recall and precision, respectively, to conduct our evaluation.
",0,1,"{""sard"":{""acc"":97.4, ""f1"":95.6, ""ROCAUC"":99.7}, ""deepwukong"": {""acc"":93, ""f1"":90}}",https://github.com/jumormt/DeepWukong,1,1,"The paper proposes DeePWuKong, a GNN-based C/C++ vulnerability detector. The motivation is that many existing aproach focus on simple specific types of vulnerabiltiies and not the most common ones e.g., top 10. DeepWuKong operate on program slices, and extracts the XCG from the PDG and CFG representations of the code, where each node in the graph is a statement. A slice is annotated as vulnerable if it contains a vulnerable stament (their data is fin-grained annotated). Each node is embedded using doc2vec. This is then fed to a GNN to predict whether each slide is vulnerable or not. They experimented with GCN, GAT, and K-GNN, and K-GNNs performed best. They evaluated on two datasets, a subset of SARD for top-10 vulnerabilities, and a created datasets from two open-source projects.",,,,
DefectHunter: A novel LLM-driven boosted-Conformer-based code vulnerability detection mechanism,1,2023,wang2023defecthunter,Ezz,26,9.737827715,arxiv,,,source_code,snippet,snippet,,"AST, CFG, DGF",pretrained_token_embedding,tree-sitter,binary,,1,0,general,general,subset_existing,"SARD, devign_ffmpeg, Devign_qemu",,both,C/C++,0,0,0,0,0,,1,0,static,"Conformer, CNN",,,1,"Acc, Precision, Recall, F1",,1,1,"{""devign_ffmpeg"":{""acc"":66.5, ""f1"":70.2}, ""devign_qemu"":{""acc"":64.6, ""f1"":71}}",,1,1,"The paper proposes DefectHunter, a vulnerability detector based on the conformer block, which is a combination of self-attention and CNNs. Firstly, the code sequence as well as different graph structures are fed in paralel to a series of conformer blocks. The out put  of all conformers are then concatenated and fed to a MLP for classification. To generate the code sequence embedding CSE they use UniXCoder. They compared their method to 9 baselines covering a wide variety of approaches.",,,,
Defendroid: Real-time Android code vulnerability detection via blockchain federated neural network with XAI,0,2024,,Ezz,15,8.982035928,Journal of Information Security and Applications,,,source_code,line,line,,None,n_gram,,"binary, multi-class",,,1,general but focusing on android,23 CWEs,benchmark,LVDAndro,"""other datasets lack labelling based on actual Android source code. In contrast, the LVDAndro dataset, presented in [10], offers a labelled dataset grounded in the CWE that encompasses Android source code vulnerabilities""",real-world,Android,,,,,,None,1,0,static,MLP,MLP,,,"Acc, Recall, Precision, F1",None,,,"{""LVDAndro"": {""acc"":96, ""precision"":95, ""recall"":99, ""f1"":96}}",https://github.com/softwaresec-labs/Defendroid,1,NA,"The paper presents Defenddroid, a blockchain federated neural network based vulnerability detector for android apps. Defendroid also uses XAI to explain vulnerability detection results to developers. They also present it as a plugin to ansroid studio, for real-time detection.  They undersample the LVDAndro dataset to have a 1:1 ratio of vulnerable samples using near-miss technique. The features were created using n-grams, and were fed to a neuraln network with one hidden layer of 20 neurons. They use the Lime package in python to provide explainability.",,,,
Detecting software vulnerabilities using Language Models,0,2023,omar2023llm_mess,Dan,19,7.116104869,arxiv,https://arxiv.org/pdf/2302.11773v1,"

    10.48550/arXiv.2302.11773 ",,,,,,,,,,,1,,,,"SARD, SeVC",,,C/C++,,,,,,,,,,,,,,,,,,{},,,,A mess.,,,,
Devign: Effective Vulnerability Identification by Learning Comprehensive Program Semantics via Graph Neural Networks,1,2019,devign_2019,Ezz,1257,188.4557721,International Conference on Neural Information Processing Systems,https://dl.acm.org/doi/10.5555/3454287.3455202,10.48550/arXiv.1909.03496,source_code,function,function,Here we analyze vulnerable code at the function level which is the fine level of granularity in the overall flow of vulnerability analysis.,"AST, CFG",node_embedding,Joern,binary,,0,0,general,general,create_own_from_scratch,Devign,"new; inaccurate labels in existing data
",real-world,C/C++,0,0,0,1,0,,1,0,static,GNN,GGNN,,1,"Acc, F1",None,0,1,"{""Devign"":{""Acc"":72.3, ""F1"": 73.3}}",,0,1,"Devign is a function-level GNN-based C/C++ vulberability detector, developed in 2019. Devign models the code as a graph and formulates the AVD problem as a graph-level classification task. The underlying graph is a composite graph based on the AST, CFG, and DFG, which was fed into a gated graph neural network (GGNN). Another contribution is curating of a real-world dataset, which was used to train and evaluate the developed GNN model.",,,,
Dlap: A deep learning augmented large language model prompting framework for software vulnerability detection,1,2024,yang2025dlap,Ezz,25,14.97005988,arxiv,,,source_code,function,function,,,pretrained_token_embedding,"flawfinder, cppcheck",binary,,1,1,general,general,create_own_from_scratch,"dlap, github",,real-world,C/C++,0,1,0,0,0,,1,1,static,PretrainedLLM,,,1,"Precision, recall, F1, FPR, MCC","vulnerability detection is formulated as a binary classification
problem in this paper,",0,0,"{""chrome"":{""precision"":40.4, ""recall"":73.3, ""f1"":52.1, ""MCC"":37.6}, ""android"": {""precision"":34.6, ""recall"":86.2, ""f1"":49.3, ""MCC"":36.1}, ""linux"": {""precision"":57.1, ""recall"":76.4, ""f1"":65.4, ""MCC"":56.4}, ""Qemu"":{""precision"":84.2, ""recall"":55.1, ""f1"":66.7, ""MCC"":63.9}}",,1,1,"The paper proposes DLAP, a method leveraging both DL and LLMs to detect vulnerabilities. It aims to combine the generalization and explainability of LLMs, with the performance of DL methods, by using DL to create prompts for LLMs.  They utilize GPT-3.5-turbo. They first use a DL model to perform ICL by providing similar code snippets (using locality sensitive hashing, a RAG technique) and their estimated probabilities of being vulnerable. They also utilize CWE-specific CoT prompts from a database based on the output of static analyzers Cppcheck and flawfinder.",,,,
Efficient and Flexible Discovery of PHP Application Vulnerabilities,0,2017,backes2017efficient_php,Dan,141,16.26297578,IEEE European Symposium on Security and Privacy,https://ieeexplore.ieee.org/document/7961989,10.1109/EuroSP.2017.14,source_code,project,snippet,,CPG,NA,https://github.com/nikic/php-ast,multi-class,,,1,"sqli, xss, command_injection, code_injection",general,create_own_from_scratch,Github,,real-world,PHP,,,,,,,0,0,static,taint_analysis,,,,num_detected,,,,"{""sqli"": {""num_detected"": 78}, ""command_injection"": {""num_detected"": 17}, ""code_injection"": {""num_detected"": 100}, ""xss"": {""num_detected"": 1}}",,1,0,"Uses code property graphs to analyse PHP applications. Vulnerabilities are modeled as patterns in graph traversals: taint analysis from low sources to sinks that can do XSS, command injection, SQLi, etc. The implementation loads the CPG into a database where human-written queries can be run to find paths that may indicate vulnerabilities.",,,,
Enhancing Code Vulnerability Detection via Vulnerability-Preserving Data Augmentation,1,2024,liu2024enhancing,Dan,12,7.185628743,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers, and Tools for Embedded Systems",https://dl.acm.org/doi/10.1145/3652032.3657564,10.1145/3652032.3657564,source_code,function,function,,CPG,node_embedding,joern,multi-class,better than binary,0,0,general,"CWE-404, CWE-835, CWE-120, CWE-672, CWE-362",create_own_from_scratch,GitHub open-source projects,"projects are chosen for their popularity among developers and their diversity in functionality, spanning various domains such as operating systems, networking, and database applications",real-world,C,0,0,0,0,0,None,1,0,,GRU and SRNN,GGNN,,1,"Precision, Recall, F1",None,1,1,"{""own"": {""F1"": 64.78 }}",N/A,0,0,Combines the outputs of 5 binary classifiers trained on a specific CWE. Creates new data by slicing vulnerability relating statements using PDG and modifying the rest of the function code.,,,,
Enhancing Deep Learning-based Vulnerability Detection by Building Behavior Graph Model,1,2023,yuan2023enhancing,Ezz,27,10.11235955,IEEE/ACM International Conference on Software Engineering,,,source_code,,function,,,"pretrained_token_embedding, node_embedding","node2vec, codebert",binary,,1,0,general,general,benchmark,"devign, reveal",,real-world,C/C++,0,1,1,0,0," for a specific programming language or source code dataset. It can be easily extended to any other C/C++ dataset (e.g., NVD datasets [50]) with minor modification. For the other languages, users may need to adapt the slicing rules to language characteristics and change to a slicing tool that supports the programming language",1,0,static,GNN,,,1,"Precision, recall, f1","We consider Precision (P), Recall (R), and F-measure (F1) as mainstream performance metric",1,0,"{""devign"":{""f1"":60.2, ""precision"":55.9, ""recall"":65.2}, ""reveal"":{""f1"":44.4, ""precision"":33.7, ""recall"":65.2}}",,1,1,"They propose a behavioural graph model VulBG which can be integrated with many exiting vulnerability detectors. They claim to use inter-function dependencies to improve the detection acuracy.  They first perform program slicing and regard each slice as a behaviour. Then they construct a graph based on the similarity of slices in different functions. Then they convert each node (function) into a vector using node embeding. The behaviour graph contains links behaviour nodes to function nodes. Generating the graph includes generating multiple slices per function, embedding the slices using codeBERT, clusturing the slices using minibatchKmeans, and add edges between functions and graph centroids. Then they use node2vec to get node embeddings for functions, and furher add trainable MLP layers. The output of the last hidden layer could then be combined with the output of any AVD technique, and finally they add a last layer for classification. They show that VulBG achieves better performance that 6 baselines.",,,,
Enhancing vulnerability detection via AST decomposition and neural sub-tree encoding,1,2024,tian2024enhancing_ast,Sanyam,35,20.95808383,Expert Systems with Applications,https://dl.acm.org/doi/10.1016/j.eswa.2023.121865,10.1016/j.eswa.2023.121865,source_code,function,function,,AST,tree-based,,"multi-class, binary",,1,0,general,general,"subset_existing, benchmark","SARD, D2A, VulDeePecker, Reveal, muVulDeePecker",,both,C/C++,0,0,0,1,1,"Other programming languages can be well-supported by substituting the
C/C++ parser with matching parsers, as well as reorganizing the extracted AST into the supported format acceptable to TrVD’s AST Decomposer",1,0,static,Transformer,,,1,"Acc, Weighted_F1, Weighted_Prec, Weighted_Rec","Following most of existing learning-based vulnerability detection methods, we also use Accuracy, Precision, Recall and F1-score as the metrics, for fair performance comparison against other methods.
",1,0,"{'TrVD': {'Acc': 85.85,
  'Weighted F1': 85.54,
  'Weighted Precision': 85.98,
  'Weighted Recall': 85.83}, ""vuldeepecker"":{""precision"":96.8, ""f1"":92.2}, ""reveal"":{""acc"":86.5, ""precision"":38.2, ""recall"":63.7, ""f1"":47.8}, ""D2A"":{""acc"":64.2}}",https://github.com/XUPT-SSS/TrVD,1,1,"The paper proposes TrVD, a vulnerability detector based on AST decomposition. TrVD converts the AST into an ordered set of smaller sub-trees, that correspond to finer-grained code units. For each sub-tree a tree-structured recusrsive neural network (RvNN) is used to distill its semantis. Then, a transformer is used to aggregate information from all subtrres.",,,,
Example-based vulnerability detection and repair in Java code,0,2022,zhang2022example_java,Shae,35,9.536784741,IEEE/ACM International Conference on Program Comprehension,https://dl.acm.org/doi/abs/10.1145/3524610.3527895,10.1145/3524610.3527895,source_code,,slice/gadget,,AST,NA,WALA,binary,,,0,Security API Misuse,Security API Misuse,create_own_from_scratch,Open source Apache projects from github,,both,Java,,,,,,,0,0,static,"code_similarity, ",,,,"Precision, Recall, F1",,,,"{""Ours"": {""Precision"": 0.95, ""Recall"": 0.72, ""F-Score"": 0.82}}",https://github.com/NiSE-Virginia-Tech/ying-ICPC-2022,1,1,"This paper proposes SeADeR (Security-API misuse Detection and Repair). SEADER is an example-based approach which takes an examplar (insecure, secure) to infer a API-misuse template. The approach then matches the vulnerable templates with the code to detect vulnerabilities. After detection SEADER finally suggests potential repairs. SEADER performs intro-procedural data dependency analysis to determine the relative context of security API use. ",,,,
Exploring context-sensitive data flow analysis for early vulnerability detection,0,2016,sampaio2016exploring,Shae,55,5.687693899,Journal of Systems and Software,https://dl.acm.org/doi/10.1016/j.jss.2015.12.021,10.1016/j.jss.2015.12.021,source_code,,line,,AST,NA,Eclipse IDE (Solution is an IDE Plugin),binary,,,0,"Command Injection, Cookie Poisoning, XSS, HTTP Response Splitting, LDAP Injection, Log Forging, Path Traversal, Reflection Injection, Security Misconfiguration, SQLi, XPath INjection",general,create_own_from_scratch,"BlueBlog, PersonalBlog, WebGoat, Roller, Pebble, NCO",,both,Java,,,,,,,0,0,static,context-sensitive data flow analysis,,,,"Precision, Recall, F1",,,,"{""ASIDE"":{""recall"":0.48, ""FNR"": 0.61}, ""CodePro"":{""recall"":0.62, ""FNR"": 0.93}, ""Lapse+"":{""recall"":0.55, ""FNR"": 0.64}, ""Ours"":{""recall"":0.88, ""FNR"": 0.34}}",,1,1,This paper proposes the use of context-sensitive data flow analysis to activelt detect vulneraabilities in the development cycle. The approach recieves a variable as a parameter and the data flow analysis (DFA) traces all possible paths of this variable to assess where it could recieve untrusted data. If and only if a vulnerable path is found does this approach flag (classify) it as vulnerable. They provide three heuristics to aid the search.,,,,
Exploring Semantic Redundancy using Backdoor Triggers: A Complementary Insight into the Challenges Facing DNN-based Software Vulnerability Detection,0,2024,,Dan,15,8.982035928,ACM Trans. Softw. Eng. Methodol.,https://dl.acm.org/doi/10.1145/3640333,10.1145/3640333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRACE: Empowering LLM-based software vulnerability detection with graph structure and in-context learning,1,2024,grace_2024,Ezz,121,72.45508982,Journal of Systems and Software,https://dl.acm.org/doi/10.1016/j.jss.2024.112031,10.1016/j.jss.2024.112031,source_code,function,function,,CPG,pretrained_token_embedding,,binary,,1,0,general,general,benchmark,"devign, big-vul, reveal",,real-world,C/C++,0,1,1,0,0,,1,1,static,PretrainedLLM,PretrainedLLM,,1,"Acc, Precision, Recall, F1","To assess the effectiveness of GRACE, we employ four commonly used metrics in vulnerability detection: accuracy, precision, recall, and F1 score. These metrics are widely recognized in the software engineering community and have been utilized in numerous studies on vulnerability detection, such as LineVul (Fu and Tantithamthavorn, 2022), ReGVD (Nguyen et al., 2021), PLBART (Ahmad et al., 2021), and the baseline models mentioned in the article.
",1,0,"{""devign"":{""Acc"":59.8, ""Precision"":53.8, ""Recall"":82.1, ""F1"":65.1}, ""reveal"": {""Acc"":89.7, ""Precision"": 33.2, ""Recall"":61.5, ""F1"": 43.1}, ""big-vul"": {""Acc"":90.7, ""Precision"":32.5, ""Recall"":39.1, ""F1"":35.5}}",https://github.com/P-E-Vul/GRACE,1,1,"The paper proposes GRACE, an AVD method utilizing LLMs. The main contribution lies in the promptiong techniques: GRACE proposes adding ICL examples of semantically and syntactically similar code snippets and their labels, and also provides the LLM with graph structural infoarmation (e.g, AST, CFG, PDG in the prompt. to determine the similarity of potential demonstration examples, CodeT5 model and T-SNE dimensionality reduction  are used. Joern is used to get the AST and other representations. AST is syntactic and CFG is semantic. The used LLM was GPT4. They evaluated GRACE on Devign, Big-vul, and ReVeal.",,,,
Graph Neural Networks for vulnerability detection: A counterfactual explanation,0,2024,,Dan,23,13.77245509,ACM SIGSOFT International Symposium on Software Testing and Analysis,https://dl.acm.org/doi/10.1145/3650212.3652136,10.1145/3650212.3652136,,,,,,,,,,,,,,,,,,,,,,,,,1,0,static,GNN,,,,,,,,,https://github.com/Zhaoyang-Chu/counterfactual-vulnerability-detection,1,,,,,,
